salah,benar
tmbh,tambah
tamvan,tampai
tabok,tampar
tabokk,tampar
tag,tandai
tanggannya,tangannya
notice,tanggepin
nanggung,tanggung
tangung,tanggung
tanggung2,tanggung tanggung
tangisn,tangisan
tnp,tanpa
nte,tante
taappiiii,tapi
tp,tapi
tpi,tapi
tpii,tapi
taro,taruh
taroh,taruh
tro,taruh
ttau,tau
tebellll,tebal
spaneng,tegang
tagang,tegang
tegurr,tegur
nelan,telan
lanjang,telanjang
telanj**g,telanjang
telanjaaannggg,telanjang
telanjag,telanjang
telanjng,telanjang
teranjang,telanjang
tlanjang,telanjang
tljng,telanjang
tlnj*ng,telanjang
tlnjang,telanjang
tlnjg,telanjang
telor,telur
telornya,telurnya
temen,teman
tmen,teman
tmn,teman
emebem,tembam
tembem,tembam
tembuss,tembus
tmbus,tembus
spot,tempat
tmpat,tempat
tmpt,tempat
temptny,tempatnya
tempekkk,tempe
nemuu,temu
tenaang,tenang
tengkurep,tengkurap
tepoz,tepos
tepokk,tepuk
trakhir,terakhir
trkhr,terakhir
kerasa,terasa
tarasi,terasi
trasi,terasi
telatur,teratur
nerawang,terawang
ngakak,terbahak-bahak
best,terbaik
debes,terbaik
the best,terbaik
top,terbaik
ngefly,terbang
terbangg,terbang
limitid,terbatas
tebelah,terbelah
ter be lh,terbelah
speechless,terdiam
tegantungtung,tergantung
tegantuntung,tergantung
thd,terhadap
terharuu,terharu
terharuuu,terharu
terharuuuu,terharu
trharu,terharu
dear,terhormat
triak,teriak
termia,terima
trima,terima
makasih,terima kasih
makasii,terima kasih
makassih,terima kasih
mkshi,terima kasih
mksih,terima kasih
terimakah,terima kasih
terimaks,terima kasih
thank you,terima kasih
trindah,terindah
trindahnya,terindahnya
teringattttttt,teringat
teringet,teringat
teringt,teringat
trjadi,terjadi
trjdi,terjadi
hardcore,terlalu
trlalu,terlalu
trllu,terlalu
ngelag,terlambat
trlewatkan,terlewatkan
look,terlihat
tergiang,terngiang
trngiang,terngiang
terjyata,ternyata
ternyta,ternyata
trnyata,ternyata
trnyta,ternyata
trxata,ternyata
trpamapang,terpampang
tersagne,tersange
trsimpan,tersimpan
lol,tertawa terbahak bahak
tertutp,tertutup
trtutup,tertutup
mili,terus
mulu,terus
muluu,terus
teroooosss,terus
teross,terus
ters,terus
teruss,terus
terusss,terus
terussss,terus
teruuuus,terus
trs,terus
trus,terus
truss,terus
terusskan,teruskan
tetep,tetap
ttap,tetap
ttp,tetap
t*t*,tetek
tete,tetek
tetet,tetek
tetew,tetek
tt,tetek
tte,tetek
ttek,tetek
teteklu,tetek kamu
t*t*tan,tetek tetekan
tetenya,teteknya
ttnya,teteknya
tb,tiba
tiba2,tiba tiba
tbtb,tiba-tiba
dak,tidak
tdak,tidak
dk,tidak
engak,tidak
enggak,tidak
engk,tidak
g,tidak
ga,tidak
gaa,tidak
gag,tidak
gak,tidak
gakk,tidak
gg,tidak
ggk,tidak
gk,tidak
gkk,tidak
gx,tidak
kaga,tidak
kagak,tidak
kga,tidak
lgk,tidak
naggk,tidak
ng,tidak
nga,tidak
ngak,tidak
ngakk,tidak
ngg,tidak
ngga,tidak
nggak,tidak
nggk,tidak
ngk,tidak
tdk,tidak
endak,tidak
ndak,tidak
no,tidak
ora,tidak
tak,tidak
tdk,tidak
teu,tidak
tidk,tidak
tidka,tidak
tk,tidak
tydak,tidak
engga,tidak
gaada,tidak ada
gaada,tidak ada
gada,tidak ada
gadaa,tidak ada
gd,tidak ada
gda,tidak ada
gkda,tidak ada
insecure,tidak aman
gpp,tidak apa apa
gapake,tidak pakai
gapapa,tidak apa apa
gpp,tidak apa apa
uwu,tidak bahagia tanpa kamu
gaberasa,tidak berasa
nonstop,tidak berhenti
unfaedah,tidak bermanfaat
gakisa,tidak bisa
gabisa,tidak bisa
gaboleh,tidak boleh
gjdi,tidak jadi
gajauh,tidak jauh
peot,tidak kencang
rakuat,tidak kuat
gamau,tidak mau
gmw,tidak mau
gamungkin,tidak mungkin
gakepo,tidak penasaran
gapenasaran,tidak penasaran
insecure,tidak percaya diri
insekiyur,tidak percaya diri
insekur,tidak percaya diri
insekyur,tidak percaya diri
insekyurr,tidak percaya diri
insicure,tidak percaya diri
insinyur,tidak percaya diri
gaperlu,tidak perlu
gausah,tidak perlu
gapernah,tidak pernah
gapunya,tidak punya
gasadar,tidak sadar
gasekalian,tidak sekalian
gasi,tidak sih
gasie,tidak sih
gasih,tidak sih
gasiii,tidak sih
dislike,tidak suka
gatahan,tidak tahan
gatakut,tidak takut
nga2,tidak tidak
ngalahin,mengalahkan
gatuh,tidak tuh
gausa,tidak usah
gausah,tidak usah
bbok,tidur
tidurx,tidurnya
ting2,ting ting
tgl,tinggal
tingal,tinggal
tingkt,tingkat
tisue,tisu
titid,titit
tidid,titit
ty tyd,titit
tytd,titit
tyty,titit
tytyd,titit
tytydnya,tititnya
tokkettny,toketnya
please,tolong
tlg,tolong
tlong,tolong
tolng,tolong
tratir,traktir
transgenderr,transgender
transgendre,transgender
transfaran,transparan
trafeling,traveling
trapeling,traveling
traveling,traveling
travelling,traveling
trepeling,traveling
treveling,traveling
tredmil,treadmill
tremorr,tremor
tuhh,tu
lord,tuan
mr,tuan
bodi,tubuh
body,tubuh
bodygoal,tubuh impian
bodimu,tubuhmu
bdnya,tubuhnya
bodinyaaa,tubuhnya
bodyny,tubuhnya
bodynya,tubuhnya
tubuhnyaaa,tubuhnya
noh,tuh
thuu,tuh
tuch,tuh
tuhh,tuh
tuhhh,tuh
tuu,tuh
tuuh,tuh
tuuhh,tuh
tuuuh,tuh
tuhann,tuhan
aim,tujuan
kang,tukang
bengkongnya,tukang sunatnya
tulussss,tulus
tumpahh,tumpah
tumpeh2,tumpah tumpah
touring,tur
nurun,turun
tutor,tutorial
emoney,uang
ucchh,uh
ughh,uh
ughhh,uh
uhh,uh
uhhh,uh
uiii,uh
ukhh,uh
Unnncccchhhhhh,uh
unnncccchhhhhh,uh
uuuuu,uh
ulaallaaaa,ulala
ulalaaaa,ulala
ulalaaaa,ulala
ulalaaaaaa,ulala
uler,ular
review,ulasan
uleg.anya,ulekannya
ulegnya,uleknya
ummatnya,umatnya
ubar,umbar
ubar2,umbar umbar
download,unduh
aplod,unggah
ngepos,unggah
post,unggah
uplot,unggah
aplodan,unggahan
for,untuk
to,untuk
tuk,untuk
unk,untuk
unt,untuk
untk,untuk
utk,untuk
utuk,untuk
fyp,untuk halaman kamu
utknya,untuknya
upx,up nya
uppss,ups
uppsss,ups
upsss,ups
usa,usah
ush,usah
eyyy,uy
vaccum,vakum
vacum,vakum
fidio,video
vdeo,video
vedeo,video
vid,video
vidio,video
vidioo,video
vido,video
fidionya,videonya
videony,videonya
videonyaaa,videonya
videonyan,videonya
vidiony,videonya
vidionya,videonya
vidnya,videonya
villa,vila
alamoyyy,waduh
wadaaaw,waduh
waduhh,waduh
waduhhh,waduh
waffat,wafat
waaahhh,wah
wahh,wah
wahhh,wah
Wiiiih,wah
wuig,wah
wapres,wakil presiden
season,waktu
time,waktu
waktuu,waktu
wkt,waktu
wktu,waktu
walo,walau
lwpun,walaupun
walopun,walaupun
walpun,walaupun
wlwpun,walaupun
wanitah,wanita
wrn,warna
wawww,waw
we,weh
wewgombel,wewe gombel
uiiich,wih
wihh,wih
wihhhh,wih
wiiiik,wih
wuih,wih
"wik""",wik wik
tour,wisata
wisatrawan,wisatawan
cok,woi
coy,woi
euyy,woi
eyyy,woi
oe,woi
oeeeee,woi
oiii,woi
ooiii,woi
oy,woi
oy,woi
uey,woi
wei,woi
weii,woi
woii,woi
woiiiii,woi
wooi,woi
woooyyy,woi
woy,woi
woyy,woi
woyy,woi
woyyyy,woi
woyyyyyyy,woi
buset,wow
omg,wow
uwow,wow
wadidawwwwwwww,wow
wahhh,wow
waooo,wow
waw,wow
woooow,wow
wooow,wow
woooww,wow
woow,wow
woww,wow
wowww,wow
wuihh,wow
atuh,ya
atuhh,ya
ea,ya
kah,ya
nyakk,ya
ta,ya
y,ya
yaa,ya
yaaa,ya
yaaaa,ya
yaaaaw,ya
yaaak,ya
yach,ya
yah,ya
yahh,ya
yahhh,ya
yak,ya
yakk,ya
yakkk,ya
ye,ya
yea,ya
yee,ya
yess,ya
yesss,ya
yeuh,ya
yk,ya
yo,ya
yaowohh,ya Allah
yaowohhh,ya Allah
yaowooh,ya Allah
yawlah,ya Allah
yaabund,ya bunda
yakan,ya kan
yaroobbb,ya rabb
ysdhlah,ya sudah lah
yahhh,yah
yh,yah
ayg,yang
nu,yang
sing,yang
yank,yang
yg,yang
yng,yang
the real,yang asli
ygbpernah,yang pernah
yangsopan,yang sopan
uoutube,youtube
ytb,youtube
yutub,youtube
yutup,youtube
yutuber,youtuber
jaman,zaman
zamann,zaman
zijah,zina
